Vocab size;.model;.vocab;encoded;total
100;239009;939;4076940;4316888
200;240750;2376;3916988;4160114
300;242693;4019;3844407;4091119
400;244694;5720;3800282;4050696
500;246715;7441;3769197;4023353
600;248848;9274;3745999;4004121
700;250934;11060;3727903;3989897
800;253104;12930;3713193;3979227
1500;269132;27354;3654923;3951409
1600;271451;29473;3649740;3950664
1700;273830;31652;3645058;3950540
1800;276140;33762;3640779;3950681
1900;278498;35920;3636831;3951249
2000;281152;38375;3636831;3956358
2100;283313;40335;3629880;3953528
2200;285686;42508;3626748;3954942
2300;288099;44721;3626748;3959568
2400;290538;46960;3621121;3958619
2500;293168;49390;3618576;3961134
2600;295487;51509;3616174;3963170
2700;297923;53745;3613905;3965573
2800;300461;56083;3611721;3968265
2900;302867;58289;3609656;3970812
3000;305342;60564;3607682;3973588
